ai|矮矮胖胖-矮矮实实
huang|慌慌急急-慌慌忙忙-慌慌张张-恍恍荡荡-恍恍忽忽-恍恍惚惚
hun|昏昏暗暗-昏昏沉沉-昏昏噩噩-昏昏浩浩-昏昏默默-浑浑沉沉-浑浑沌沌-浑浑噩噩-混混沌沌-混混噩噩
ji|叽叽咕咕-叽叽喳喳-唧唧嘎嘎-唧唧咕咕-唧唧哝哝-唧唧喳喳-汲汲皇皇-汲汲忙忙-汲汲营营-即即世世-急急巴巴-急急忙忙-挤挤插插-济济彬彬-济济跄跄-继继承承-继继存存-继继绳绳-寂寂寞寞-寂寂悄悄
jia|家家户户
jian|謇謇谔谔
jiao|娇娇痴痴-娇娇滴滴-娇娇媚媚-胶胶扰扰-叫叫嚷嚷
jie|揭揭巍巍-结结巴巴-结结实实
jin|矜矜业业-谨谨慎慎-进进出出
jing|兢兢干干-兢兢乾乾-兢兢切切-兢兢业业-兢兢翼翼-兢兢战战
jiu|啾啾唧唧
ju|拘拘儒儒-踽踽凉凉
kan|侃侃谔谔-侃侃訚訚
ke|磕磕绊绊-客客气气
keng|坑坑坎坎-坑坑洼洼-铿铿锵锵
kong|空空荡荡-空空洞洞
kou|口口声声
ku|哭哭啼啼
kuai|快快活活
kuan|款款深深
la|拉拉扯扯-拉拉杂杂-邋邋遢遢
lai|来来去去-来来往往
lan|懒懒散散
lao|捞捞搭搭-唠唠叨叨-老老大大-老老少少-老老实实
le|乐乐陶陶-乐乐醄醄
lei|磊磊落落-礌礌落落
leng|冷冷淡淡-冷冷清清-愣愣瞌瞌
li|离离矗矗-里里外外-历历落落-利利索索
liang|踉踉跄跄-两两三三-亮亮堂堂
liao|潦潦草草-嘹嘹呖呖
lie|烈烈轰轰-趔趔趄趄
lin|林林总总-淋淋漓漓
ling|伶伶仃仃-零零散散-零零碎碎-零零星星
lu|陆陆续续-碌碌庸庸
luo|荦荦确确-落落穆穆
ma|马马虎虎-骂骂咧咧
man|满满当当-满满登登-慢慢腾腾-慢慢吞吞
mang|忙忙碌碌-忙忙乱乱-茫茫荡荡-莽莽广广
mao|毛毛楞楞-毛毛腾腾-冒冒失失
mei|昧昧芒芒
meng|朦朦胧胧-懵懵懂懂-梦梦查查-梦梦铳铳
mi|迷迷荡荡-迷迷糊糊-迷迷惑惑-密密层层-密密麻麻-密密匝匝
mian|绵绵缗缗-勉勉强强-腼腼腆腆
miao|眇眇忽忽-渺渺茫茫
ming|明明白白-明明赫赫
mo|模模糊糊-磨磨蹭蹭
mu|木木樗樗-暮暮朝朝
nan|男男女女
nao|闹闹哄哄
nian|黏黏糊糊
niao|袅袅娜娜-袅袅娉娉-袅袅亭亭-袅袅婷婷
nie|捏捏扭扭-嗫嗫嚅嚅
niu|忸忸怩怩-扭扭捏捏
nong|浓浓郁郁
nuo|诺诺尔尔
pao|跑跑颠颠-跑跑跳跳
peng|蓬蓬勃勃
pi|劈劈啪啪-噼噼啪啪
pian|翩翩跹跹
piao|漂漂亮亮-飘飘零零-飘飘摇摇
ping|娉娉袅袅-乒乒乓乓-平平安安-平平常常-平平淡淡-平平泛泛-平平静静-平平稳稳-平平庸庸-平平整整
po|婆婆妈妈-破破烂烂
pu|普普通通
qi|七七八八-凄凄楚楚-期期艾艾-嘁嘁嚓嚓-嘁嘁喳喳-齐齐整整-奇奇怪怪
qian|千千万万-前前后后-乾乾翼翼
qiao|悄悄冥冥-敲敲打打
qie|切切实实-窃窃诩诩
qin|亲亲切切-亲亲热热-勤勤恳恳
qing|轻轻快快-轻轻巧巧-轻轻松松-轻轻易易-卿卿我我-清清白白-清清楚楚-清清静静-清清爽爽
qu|曲曲弯弯-曲曲折折
que|确确实实
ran|然然可可
rang|攘攘熙熙
re|热热乎乎-热热闹闹
ri|日日夜夜
rong|融融泄泄
sa|洒洒潇潇-洒洒洋洋
san|参参伍伍-三三两两-三三四四-三三五五
se|瑟瑟缩缩
shan|善善恶恶
shang|上上下下
sheng|生生世世-生生死死
shi|十十五五-时时刻刻-实实在在-世世代代-世世生生-是是非非
shu|疏疏朗朗-舒舒服服-舒舒坦坦
shuang|爽爽快快
shun|顺顺当当-顺顺利利
shuo|说说笑笑
si|斯斯文文-死死平平
song|松松垮垮
sui|随随便便
suo|琐琐碎碎-琐琐屑屑
ta|踏踏实实
tan|坛坛罐罐-忐忐忑忑
tang|堂堂正正
tao|滔滔汩汩-滔滔滚滚-陶陶兀兀
te|忑忑忐忐
teng|腾腾兀兀
ti|啼啼哭哭-体体面面
tiao|挑挑拣拣-挑挑剔剔-条条框框
tong|痛痛快快
tou|偷偷摸摸
tui|推推搡搡
tun|吞吞吐吐
tuo|拖拖沓沓-拖拖拉拉-妥妥当当-妥妥贴贴-妥妥帖帖
wai|歪歪倒倒-歪歪扭扭-歪歪斜斜
wan|弯弯曲曲-完完全全-万万千千
wei|巍巍荡荡-唯唯否否-唯唯诺诺-委委曲曲-委委屈屈-委委佗佗-痿痿羸羸
wen|稳稳当当-稳稳静静-稳稳妥妥
wo|窝窝囊囊-龌龌龊龊
wu|呜呜咽咽
xi|栖栖惶惶-栖栖遑遑-栖栖默默-淅淅沥沥-淅淅飒飒-稀稀拉拉-稀稀烂烂-稀稀落落-熙熙壤壤-熙熙攘攘-熙熙融融-嘻嘻哈哈-窸窸窣窣
xiang|详详细细
xiao|潇潇洒洒
xie|蝎蝎螫螫-泄泄沓沓
xin|心心念念-辛辛苦苦-伈伈睍睍
xing|兴兴头头-星星点点-星星落落-形形色色
xiong|汹汹拳拳
xiu|修修补补-羞羞答答
xu|虚虚实实-许许多多-絮絮叨叨-絮絮聒聒-煦煦孑孑
xuan|暖暖姝姝
xun|寻寻觅觅
yan|严严实实-严严翼翼-燕燕莺莺
yang|洋洋洒洒-洋洋纚纚
yao|妖妖娆娆-摇摇摆摆-摇摇晃晃-窈窈冥冥
ye|噎噎咽咽-业业矜矜-业业兢兢
yi|咿咿呀呀-咿咿哑哑-疑疑惑惑-意意思思-意意似似
yin|殷殷勤勤-殷殷田田-殷殷屯屯-隐隐绰绰-隐隐约约
ying|营营苟苟-营营逐逐-影影绰绰
yong|庸庸碌碌
you|优优简简-悠悠荡荡-悠悠忽忽-悠悠扬扬-油油腻腻
yu|鱼鱼雅雅-郁郁苍苍-郁郁沉沉-郁郁葱葱-郁郁累累-郁郁芊芊-郁郁青青
yuan|元元本本-原原本本-原原委委-源源本本-怨怨哀哀-怨怨焦焦
yue|岳岳磊磊-岳岳荦荦
yun|晕晕沉沉-晕晕乎乎-晕晕忽忽
zao|朝朝暮暮
zha|查查胡胡-扎扎实实
zhan|詹詹炎炎-战战惶惶-战战兢兢-战战栗栗-战战慄慄-战战业业
zhe|遮遮掩掩
zhen|真真假假-真真实实-榛榛狉狉-臻臻至至
zheng|铮铮佼佼-整整截截-整整齐齐-正正当当-正正经经-正正气气-正正堂堂
zhi|支支吾吾-支支梧梧-指指戳戳-指指点点-志志诚诚
zhu|朱朱白白-逐逐眈眈
zhuo|茁茁壮壮
zi|仔仔细细-孜孜汲汲-孜孜矻矻-孳孳汲汲-孳孳矻矻-子子孙孙
zong|总总林林
zu|祖祖辈辈
zuo|作作索索
